route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A174,A,42A,Автостанция Банкя - Края на кв. Михайлово - Автостанция Банкя,,3,,BE1E2D,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
A263,A,X1,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
TM25,A,5,Ж.к. Бъкстон - СЪДЕБНА ПАЛАТА - Ж.к. Бъкстон,,0,,F7941D,FFFFFF,,,
A2,A,9,ПЛ. ОРЛОВ МОСТ - АВТОБАЗА ИСКЪР - ПЛ. ОРЛОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
TB42,A,22T,АВТОСТАНЦИЯ ИЗТОК - ТЕАТЪР СОФИЯ - АВТОСТАНЦИЯ ИЗТОК,,11,,27AAE1,FFFFFF,,,
A249,A,X50,ПЛ. ОРЛОВ МОСТ - Парк музей Врана - ПЛ. ОРЛОВ МОСТ,,3,,006838,FFFFFF,,,
TM34,A,18,Ж.К. БЪКСТОН - ПЛ. МАКЕДОНИЯ - Ж.К. БЪКСТОН,,0,,F7941D,FFFFFF,,,
TB24,A,123,ЛИФТА СИМЕОНОВО - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЛИФТА СИМЕОНОВО,,11,,27AAE1,FFFFFF,,,
TM40,A,15,ПЛ. МАКЕДОНИЯ - ПЛ. ЖУРНАЛИСТ - ПЛ. МАКЕДОНИЯ,,0,,F7941D,FFFFFF,,,
A144,A,12TM,ЦЕНТРАЛНА ГАРА - ГАРА СОФИЯ СЕВЕР - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
TB10,A,1,СТАДИОН Г. АСПАРУХОВ - Ж.К. БОРОВО - СТАДИОН Г. АСПАРУХОВ,,11,,27AAE1,FFFFFF,,,
A84,A,204,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
TB34,A,20T,Ж.К. ДРУЖБА-1 - АВТОСТАНЦИЯ ГЕО МИЛЕВ - Ж.К. ДРУЖБА-1,,11,,27AAE1,FFFFFF,,,
